                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2856,                 3.0846,                 1.4042,                  1.399,                 0.9053,                0.92997,                0.92361,                0.61565,                0.89579,                 0.9202,                0.90181,                0.54533,                 1.1388,                  2.371,                 1.1555,                 1.4255,              0.0006619,              0.0006619,              0.0006619
                      2,                 1.2278,                 2.2015,                0.93795,                 1.3297,                0.88814,                0.94401,                0.96572,                0.68108,                0.87902,                0.93487,                0.95311,                0.61567,                 1.0267,                 2.0952,                0.74475,                 1.3048,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.2138,                 2.1093,                0.81884,                 1.3088,                0.91496,                0.95114,                0.94098,                0.67473,                0.90819,                  0.943,                0.93343,                0.63705,                0.96698,                 1.8438,                0.70289,                 1.2602,              0.0019162,              0.0019162,              0.0019162
                      4,                 1.1877,                 2.1091,                0.77759,                 1.2928,                0.93563,                0.93974,                0.95095,                 0.7169,                0.93077,                0.93485,                0.94075,                0.68259,                0.95908,                 1.6637,                0.66082,                 1.2383,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1717,                 2.0575,                0.73011,                 1.2903,                0.95343,                0.96705,                0.98092,                0.71147,                0.95466,                0.96022,                0.97914,                0.71016,                0.99271,                 1.5476,                 0.5561,                  1.249,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1299,                 2.0207,                0.69962,                 1.2608,                0.95418,                0.94965,                0.97243,                0.75007,                0.94763,                0.94313,                0.96301,                0.67903,                0.85629,                 1.5929,                0.55435,                 1.2053,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.099,                 1.9745,                0.66939,                 1.2354,                0.96885,                0.96254,                0.97935,                0.74176,                0.96557,                 0.9591,                0.97598,                0.72659,                0.89274,                 1.4951,                0.50878,                 1.2372,               0.001802,               0.001802,               0.001802
                      8,                 1.0796,                 1.9266,                  0.673,                 1.2254,                0.94954,                0.95015,                0.97491,                0.80173,                0.94629,                 0.9469,                0.97098,                0.75899,                0.71644,                  1.328,                0.47048,                 1.1157,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0626,                 1.9097,                0.65056,                 1.2154,                 0.9607,                0.95556,                0.98191,                0.78788,                0.95417,                0.94948,                0.97263,                0.75918,                0.76003,                 1.4207,                0.43299,                 1.1146,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0472,                 1.8783,                0.62499,                 1.2041,                0.95611,                0.96743,                0.97524,                 0.7755,                0.94645,                0.95765,                0.97193,                0.72293,                0.79714,                 1.5479,                0.48747,                 1.1502,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0255,                 1.8448,                0.61284,                 1.1931,                0.96309,                0.96254,                0.97965,                0.80722,                0.95983,                0.95928,                0.97845,                0.77784,                 0.6867,                 1.2874,                0.42903,                 1.0605,              0.0016436,              0.0016436,              0.0016436
                     12,                0.99328,                 1.7959,                0.59455,                 1.1692,                0.95791,                0.96368,                0.97763,                0.82778,                0.95469,                0.96096,                0.97331,                0.78017,                0.64013,                 1.2568,                0.40021,                  1.053,               0.001604,               0.001604,               0.001604
